Name,V,M,n,np,B,G,E,v,H,B',G',_,vL,vS,va,_e,_el,_es,_e,A,y-theory,y-exp
422_BeS,29,41.079,2,2,94.2002,66.8597,162.2037582,0.213015899,15.65139038,-9.06823,-2.99915,2.352179243,8.82878754,5.331470435,5.894170749,571.1716539,0.866747858,0.483765133,0.637523662,4.09E-07,39.44160004,27.54
10695_ZnS,40.48,97.456,2,2,69.0588,35.0276,89.88570051,0.283069644,7.237422948,-5.3592,0.40073,3.997759155,5.381151232,2.960035213,3.299298069,286.0781251,0.676922906,-0.398220504,0.508390847,2.38E-07,12.00214335,27
2605_CaO,28.19,56.078,2,2,105.002,76.8543,185.3433402,0.205809826,17.60258613,-11.0452,-6.82857,3.303284569,7.925182363,4.823486767,5.328382405,521.2430686,1.202242877,1.085686086,1.125879877,1.60E-06,50.89142209,27
2712427_GeRhV,194.01,905.828,12,3,170.569,59.4493,159.7844038,0.343871196,6.358203339,-3.09669,-0.42108,7.745029655,5.679562272,2.770523448,3.112374554,254.0858113,1.253699893,0.520420741,0.839332853,7.91E-07,16.9083294,25.78
10044_BAs,27.98,85.733,2,2,131.342,125.419,285.4104683,0.137827874,31.99818941,-14.8762,-7.33929,5.088020576,7.660316526,4.964862637,5.446636665,534.1408188,0.988919435,0.652002491,0.78063567,6.65E-07,72.13520155,25.75
961649_FeTeZr,56.42,274.671,3,3,139.41,76.1765,193.3184389,0.268885017,12.439473,-12.597,-4.04768,8.084036673,5.459780223,3.069703079,3.415613318,265.1353307,1.939777502,1.332287116,1.561272416,3.51E-06,31.4119588,25.71
2762271_CrAsRu,186.6,911.952,12,3,193.621,49.4782,136.7833279,0.382258529,3.97184232,-3.72602,-0.34102,8.107030378,5.658674282,2.47044987,2.789793126,230.7268037,1.335924531,0.476387567,0.863825712,8.48E-07,12.72738188,25.7
2725749_GePdTi,210.97,907.64,12,3,135.697,50.8471,135.6038957,0.333447686,6.315677834,-2.45079,-0.41166,7.136649763,5.339833155,2.669229416,2.994423685,237.7221291,1.38827617,0.68734379,0.978467117,1.14E-06,15.17095528,25.62
961688_PtGaV,50.51,315.744,3,3,141.095,18.1782,52.28902015,0.438234263,0.9922319,-10.962,-1.11092,10.3802135,3.990948326,1.323342607,1.50575479,121.2751247,1.734069725,1.376736123,1.50530202,3.22E-06,3.282232067,25.17
961696_CoMnSi,37.56,141.956,3,3,198.475,64.4553,174.4784486,0.353484109,6.13709859,-19.8705,-2.55429,6.275910159,6.731908355,3.2047264,3.604810609,320.4674003,1.370266325,0.577563307,0.921011862,9.89E-07,20.26741895,24.3
2686346_AsCoZr,198.82,900.316,12,3,155.719,82.1092,209.5043581,0.27576665,12.46659819,-2.91538,-1.17245,7.511667545,5.941784389,3.306189415,3.681823312,298.1303453,1.512163404,1.252824139,1.344838876,2.45E-06,33.04957366,24
1100413_BCuTi,35.96,122.237,3,3,149.409,87.6752,219.9938265,0.254595521,14.6810768,0.26389,-4.98444,5.644578897,6.868744554,3.941146772,4.37778348,394.8731913,0.264219201,0.855517842,0.714990289,5.39E-07,29.07910844,23.62
961646_OsTeTi,58.48,365.68,3,3,165.984,61.4814,164.1738914,0.335150887,6.96302235,-10.7385,-2.29363,10.38346713,4.886736445,2.433328137,2.730398476,209.4274047,1.460273283,0.9241631,1.131452301,1.62E-06,18.33735817,23.35
2784654_AsFeNb,185.02,894.716,12,3,189.806,96.5156,247.5819808,0.282600848,13.13336481,-3.76343,-1.45828,8.021729015,6.301098528,3.468684215,3.866021854,320.6426892,1.491228837,1.231091652,1.323497482,2.36E-06,39.63774873,23.09
2773484_AuGaTi,225.76,1258.28,12,3,119.875,46.0187,122.3941724,0.329830834,6.128684816,-2.08245,-0.36288,9.245528824,4.427444041,2.231008858,2.501618918,194.1640177,1.431730915,0.723447448,1.015973397,1.25E-06,11.89918295,23.06
1986_ZnO,24.82,81.39,2,2,109.887,44.3975,117.3837053,0.321963008,6.371431235,-23.4547,3.34257,5.445249947,5.57239532,2.855422309,3.1984676,326.4509694,1.227698857,-1.100982646,1.144780919,1.67E-06,17.50721704,22.38
2686901_CoWGa,177.89,1250.02,12,3,200.332,98.9795,254.9501386,0.287893648,12.88736227,-4.20804,-1.39339,11.6564656,5.339305578,2.913997566,3.249926652,273.0987071,1.45693642,1.085462042,1.221900081,1.95E-06,32.70934797,22.18
1100412_RuTeTi,57.45,276.55,3,3,152.216,53.6485,144.0249751,0.342301975,6.066315562,-10.1055,-2.0689,7.993411628,5.290696452,2.59067362,2.909722483,224.5078296,1.484836178,0.94108383,1.151233545,1.69E-06,17.10178922,22.12
1100422_RuTeV,55.12,279.611,3,3,160.451,43.2771,119.1214262,0.376263962,3.912122179,-10.6631,-1.34129,8.423519624,5.089025127,2.266638596,2.557532066,200.0758253,1.406365628,0.687502222,0.987114125,1.17E-06,11.35010373,21.91
2690071_RuTeHf,247.58,1628.64,12,3,137.901,49.7336,133.1893479,0.33902782,5.961515657,-2.23288,-2.11051,10.91216686,4.325991149,2.134860243,2.396727133,180.3889799,2.892671169,5.086522986,4.476344441,4.40E-05,23.04830926,21.74
2730784_MnTeV,196,933.916,12,3,162.322,47.1635,128.9969246,0.367550379,4.488146575,-2.95967,-1.24708,7.904114159,5.337821163,2.442735316,2.752945421,223.9797938,1.844816623,2.424613455,2.248024998,8.42E-06,17.76918912,21.62
1100415_RhSbZr,63.11,315.88,3,3,141.434,63.3674,165.4004612,0.305091113,8.85434939,-7.81452,-2.40274,8.311367722,5.213685229,2.761192566,3.086187801,230.7807371,1.372252017,1.029823338,1.155299068,1.70E-06,21.92347087,21.1
2784752_AsFeTa,184.19,1246.87,12,3,198.31,99.5442,255.8273478,0.284993741,13.17209359,-3.22327,-1.49701,11.22940092,5.429490238,2.9773486,3.319385663,275.7183225,1.285352085,1.21831745,1.241064704,2.02E-06,34.17871003,21.08
2719690_GeIrNb,218.35,1430.96,12,3,192.294,77.3779,204.6797505,0.322598252,8.776327384,-3.15065,-0.60205,10.87115674,5.213325,2.667906412,2.988671812,234.5616953,1.294119914,0.682785292,0.932226343,1.02E-06,22.795907,20.88
1751248_GeHfPt,233.68,1784.72,12,3,151.981,64.0511,168.4845118,0.315235115,8.294509089,-1.98464,-0.54301,12.66922375,4.328618548,2.248476191,2.51640257,193.0795162,1.166536497,0.823875079,0.951901201,1.07E-06,16.35640104,20.46
2719352_GeIrTa,217.41,1783.11,12,3,202.335,80.777,213.8702796,0.323831534,8.916960807,-3.36849,-0.61187,13.60504803,4.773722728,2.436653751,2.730055574,214.5729204,1.300432954,0.656752479,0.922636351,9.93E-07,21.62420315,20.43
1100401_BCdY,57.43,212.128,3,3,85.5399,55.3835,136.6572249,0.233735904,12.58998377,-4.9086,-2.52734,6.133490956,5.09764125,3.004943664,3.32979998,256.9499121,1.324781835,1.143697758,1.207081333,1.89E-06,20.03989917,20.17
505297_RuNbSb,59.2,315.73,3,3,172.54,66.6787,177.2084827,0.328823768,7.673020168,-10.026,-2.75015,8.856103655,5.433363606,2.743924873,3.076340896,235.0014215,1.383598042,1.054179571,1.174298752,1.77E-06,22.79767892,19.91
2713812_CrGeRh,188.54,910.048,12,3,176.453,52.9897,144.5040125,0.363510385,4.99378712,-3.16009,-0.36617,8.006860397,5.555337628,2.572554607,2.897654784,238.8225912,1.225152654,0.48475891,0.810551546,7.28E-07,13.77852233,19.75
1932053_NiSnZr,232.54,1074.5,12,3,123.603,72.6821,182.3115063,0.254170602,13.18746306,-2.07813,-0.78328,7.664965622,5.363662812,3.079346979,3.420334173,262.8648882,1.479741212,1.086351141,1.231523671,1.99E-06,27.50077931,19.6
2758215_BeAsLi,174.64,363.78,12,3,65.2377,47.9461,115.5344826,0.204837125,13.42111519,-1.07675,-0.79426,3.455385891,6.11400159,3.725017914,4.114498492,347.8822441,1.277173778,1.279848967,1.278957859,2.17E-06,19.91546277,19.54
